"sample.depths","sample.ages","upland.sum","Abies","Acer.undiff.","Acer.rubrum","Acer.saccharum","Alnus.incana","Alnus.viridis.subsp..crispa","Betula.undiff.","Betula..small.","Betulaceae.undiff.","Carya","Castanea","Celtis","Cephalanthus","Clethra","Cornus","Corylus","Cupressaceae","Ericaceae","Fagus","Fraxinus.nigra","Fraxinus.pennsylvanica.F..americana.type","Fraxinus.undiff.","Ilex","Juglans.cinerea","Juglans.nigra","Larix","Liquidambar","Morus","Myrica.Comptonia.peregrina","Nyssa","Ostrya.Carpinus","Other.shrubs","Other.trees","Picea","Pinus.subg..Pinus","Pinus.subg..Strobus","Pinus.undiff.","Platanus","Populus","Quercus","Rhamnus.Vitis","Salix","Sambucus","Taxus","Tilia","Tsuga","Ulmus","Viburnum","Ambrosia","Apiaceae","Artemisia","Asteraceae.subf..Asteroideae.undiff.","Asteraceae.subf..Cichorioideae","Caryophyllaceae","Chenopodiaceae","Cyperaceae","Fabaceae","Galium","Humulus","Iva","Other.herbs","Plantago","Poaceae.undiff.","Polygonaceae.undiff.","Polygonum.bistortoides","Ranunculaceae.undiff.","Rosaceae","Rumex","Secale","Thalictrum","Urtica","Zea"
176,1768,548,0,0,1,7,6,0,41,0,1,19,0,0,16,18,0,1,0,4,30,1,5,0,0,1,0,0,0,0,40,11,3,0,0,0,15,3,38,3,0,253,1,0,0,0,0,15,2,0,0,0,1,4,0,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
184,1840,547,0,0,1,7,5,0,42,0,6,17,1,0,18,13,0,0,0,6,29,2,1,0,3,0,0,0,0,0,34,5,4,0,0,2,3,3,38,1,0,280,0,0,0,0,0,10,4,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0
188,1876,525,0,0,2,8,4,0,36,0,0,17,2,0,7,13,0,0,0,3,32,2,3,1,2,1,0,0,0,0,23,9,4,0,0,0,8,2,26,3,1,292,0,0,0,0,1,16,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
192,1912,537,0,0,2,5,5,0,37,0,0,22,2,0,12,10,0,0,0,2,32,0,4,2,3,2,0,0,0,0,49,6,1,0,0,0,9,1,38,0,0,262,0,0,0,0,0,15,4,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
196,1948,558,0,0,2,5,7,0,38,0,1,19,1,0,18,22,0,0,0,6,29,2,2,0,2,0,0,0,2,0,32,8,3,0,0,1,5,4,35,0,0,271,1,2,0,0,0,19,3,0,1,0,3,3,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
200,1984,550,0,0,2,6,2,0,43,0,4,20,0,0,13,12,0,0,0,3,28,0,1,1,1,0,0,0,0,0,18,12,5,0,0,1,7,2,32,1,0,296,0,0,0,0,1,15,3,0,1,0,2,6,0,0,2,5,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
216,2127,542,0,0,3,7,2,0,61,0,10,16,1,0,14,8,0,0,0,0,21,2,5,2,2,0,0,0,0,0,26,7,5,0,0,1,7,6,38,0,1,267,1,0,0,0,0,12,6,0,1,0,1,3,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
232,2270,540,0,0,0,3,3,0,53,0,2,13,0,0,12,6,0,0,0,2,37,4,5,1,5,1,0,0,1,0,37,5,4,0,0,1,1,2,18,1,0,299,1,0,0,0,0,7,5,0,3,0,2,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
264,NA,532,0,0,0,0,1,0,44,0,6,16,0,0,17,5,0,0,0,3,45,0,1,0,2,0,0,0,2,0,40,1,5,0,0,0,3,2,25,3,0,291,0,0,0,0,1,9,2,0,1,0,0,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
280,NA,536,0,0,1,6,3,0,37,0,1,15,1,0,15,4,0,1,0,2,45,0,2,2,1,2,0,0,0,0,41,1,4,0,0,0,2,3,24,2,0,298,0,0,0,0,0,7,5,0,3,1,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,NA,529,0,0,1,5,2,0,45,0,0,15,1,0,10,3,0,0,1,2,53,2,4,1,0,0,0,0,1,0,37,1,3,0,0,0,0,2,23,3,0,283,0,0,0,0,0,16,6,0,1,0,0,2,0,0,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
312,NA,535,0,0,3,7,7,0,51,0,5,9,2,0,15,3,0,0,0,3,87,2,0,0,1,1,1,0,0,0,24,0,6,0,0,0,2,2,20,4,0,252,0,0,0,0,0,8,5,0,1,0,2,3,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
328,NA,522,0,0,4,5,9,0,49,0,4,4,3,0,6,6,0,0,0,8,80,0,1,1,0,0,0,0,1,0,33,2,4,0,0,0,0,0,23,2,0,253,0,1,0,0,0,8,7,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
344,NA,536,0,0,1,5,7,0,45,0,2,4,3,0,18,7,0,0,0,5,126,1,4,0,0,0,0,0,1,0,27,2,6,0,0,0,2,0,25,5,1,219,0,0,0,0,0,8,3,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
360,NA,547,0,0,0,5,5,0,46,0,1,5,0,0,20,17,0,1,0,4,139,3,2,3,1,0,0,0,1,0,31,1,6,0,0,0,1,9,26,4,0,202,0,0,0,0,0,3,5,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
376,NA,522,0,0,2,7,5,0,34,0,0,12,2,0,6,8,0,0,2,5,156,3,5,0,6,0,0,0,0,0,13,2,8,0,0,1,2,3,20,2,0,202,0,0,0,0,0,4,5,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
392,NA,514,0,0,1,8,4,0,44,0,0,7,2,0,6,2,0,0,2,2,113,2,5,1,0,1,1,0,0,0,28,3,12,0,0,0,2,6,18,3,0,224,0,0,0,0,0,4,7,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
816,NA,325,0,0,0,0,1,35,16,1,2,0,0,0,0,0,0,2,0,3,4,5,0,0,1,0,1,0,0,0,2,0,9,0,0,42,42,3,110,1,3,26,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0
